SepalLength_cm,SepalWidth_cm,PetalLength_cm,PetalWidth_cm,Species
5.05,3.5,1.39,0.15,setosa
4.89,2.96,1.41,0.22,setosa
4.7,3.2,1.33,0.19,setosa
4.6,3.15,1.49,0.2,setosa
5.04,3.62,1.36,0.18,setosa
5.44,3.9,1.73,0.38,setosa
4.56,3.44,1.37,0.31,setosa
4.95,3.35,1.47,0.23,setosa
4.42,2.95,1.43,0.21,setosa
4.88,3.07,1.46,0.14,setosa
5.39,3.73,1.46,0.22,setosa
4.8,3.45,1.59,0.21,setosa
4.79,2.99,1.37,0.06,setosa
4.28,2.99,1.06,0.06,setosa
5.84,3.99,1.22,0.25,setosa
5.65,4.4,1.51,0.41,setosa
5.38,3.89,1.27,0.41,setosa
5.13,3.46,1.39,0.31,setosa
5.67,3.82,1.67,0.34,setosa
5.11,3.82,1.54,0.25,setosa
5.42,3.41,1.65,0.17,setosa
5.13,3.66,1.51,0.41,setosa
4.63,3.6,1.03,0.17,setosa
5.14,3.28,1.65,0.5,setosa
4.8,3.4,1.85,0.22,setosa
5.04,2.97,1.64,0.15,setosa
4.95,3.39,1.63,0.44,setosa
5.17,3.54,1.51,0.18,setosa
5.17,3.44,1.43,0.16,setosa
4.74,3.22,1.61,0.17,setosa
4.77,3.07,1.59,0.18,setosa
5.44,3.41,1.52,0.43,setosa
5.19,4.08,1.52,0.14,setosa
5.48,4.16,1.4,0.23,setosa
4.91,3.08,1.47,0.18,setosa
4.96,3.17,1.18,0.23,setosa
5.45,3.54,1.32,0.23,setosa
4.86,3.6,1.43,0.12,setosa
4.4,3,1.33,0.17,setosa
5.14,3.37,1.49,0.21,setosa
5.03,3.47,1.31,0.3,setosa
4.49,2.27,1.29,0.33,setosa
4.4,3.23,1.29,0.21,setosa
5,3.53,1.56,0.64,setosa
5.09,3.81,1.92,0.44,setosa
4.81,2.98,1.41,0.27,setosa
5.08,3.81,1.6,0.17,setosa
4.61,3.16,1.36,0.19,setosa
5.31,3.72,1.5,0.2,setosa
5,3.29,1.42,0.25,setosa
7,3.2,4.75,1.39,versicolor
6.36,3.25,4.49,1.52,versicolor
6.95,3.06,4.89,1.45,versicolor
5.52,2.27,4.02,1.29,versicolor
6.5,2.82,4.61,1.54,versicolor
5.69,2.81,4.54,1.29,versicolor
6.28,3.26,4.69,1.63,versicolor
4.91,2.44,3.35,1.01,versicolor
6.6,2.88,4.57,1.32,versicolor
5.16,2.65,3.85,1.36,versicolor
4.99,1.97,3.53,1.03,versicolor
5.86,3.01,4.22,1.52,versicolor
6.01,2.2,4.05,1,versicolor
6.09,2.92,4.68,1.39,versicolor
5.59,2.92,3.63,1.29,versicolor
6.65,3.06,4.42,1.41,versicolor
5.62,3,4.49,1.45,versicolor
5.81,2.75,4.08,0.96,versicolor
6.18,2.23,4.46,1.48,versicolor
5.59,2.48,3.95,1.09,versicolor
5.87,3.21,4.84,1.84,versicolor
6.11,2.78,3.98,1.34,versicolor
6.28,2.53,4.93,1.52,versicolor
6.09,2.75,4.69,1.23,versicolor
6.37,2.87,4.31,1.29,versicolor
6.59,3.01,4.44,1.4,versicolor
6.79,2.79,4.82,1.44,versicolor
6.72,3.02,4.98,1.68,versicolor
5.99,2.95,4.47,1.5,versicolor
5.69,2.64,3.48,0.98,versicolor
5.53,2.41,3.81,1.06,versicolor
5.52,2.37,3.68,0.95,versicolor
5.8,2.66,3.89,1.16,versicolor
6.03,2.67,5.14,1.56,versicolor
5.38,3.04,4.51,1.45,versicolor
6.01,3.35,4.51,1.57,versicolor
6.7,3.07,4.68,1.48,versicolor
6.32,2.28,4.36,1.28,versicolor
5.59,3.04,4.06,1.3,versicolor
5.53,2.45,4.04,1.29,versicolor
5.5,2.59,4.4,1.17,versicolor
6.12,3.01,4.58,1.37,versicolor
5.79,2.62,4,1.19,versicolor
5,2.3,3.25,1.04,versicolor
5.58,2.72,4.24,1.28,versicolor
5.67,2.98,4.23,1.24,versicolor
5.68,2.86,4.22,1.25,versicolor
6.18,2.94,4.3,1.3,versicolor
5.1,2.47,3.01,1.12,versicolor
5.67,2.78,4.06,1.32,versicolor
6.34,3.25,6.03,2.47,virginica
5.85,2.71,5.14,1.86,virginica
7.14,3.05,5.93,2.07,virginica
6.26,2.92,5.55,1.78,virginica
6.55,3,5.77,2.23,virginica
7.65,2.95,6.62,2.14,virginica
4.86,2.54,4.53,1.75,virginica
7.3,2.92,6.26,1.76,virginica
6.66,2.5,5.81,1.75,virginica
7.19,3.57,6.05,2.52,virginica
6.47,3.18,5.12,2.03,virginica
6.42,2.7,5.27,1.87,virginica
6.82,3.03,5.51,2.12,virginica
5.66,2.52,5,1.96,virginica
5.83,2.77,5.11,2.39,virginica
6.38,3.24,5.28,2.29,virginica
6.49,2.99,5.54,1.83,virginica
7.73,3.83,6.7,2.21,virginica
7.68,2.63,6.89,2.27,virginica
5.98,2.22,5.02,1.54,virginica
6.91,3.2,5.69,2.28,virginica
5.6,2.79,4.92,1.98,virginica
7.74,2.77,6.67,2.01,virginica
6.26,2.74,4.92,1.85,virginica
6.72,3.32,5.66,2.08,virginica
7.19,3.23,5.96,1.83,virginica
6.23,2.85,4.78,1.79,virginica
6.07,3.01,4.86,1.81,virginica
6.38,2.77,5.56,2.08,virginica
7.18,3,5.78,1.64,virginica
7.39,2.76,6.09,1.93,virginica
7.92,3.78,6.41,2.03,virginica
6.42,2.8,5.6,2.21,virginica
6.34,2.83,5.12,1.47,virginica
6.07,2.57,5.58,1.42,virginica
7.71,3.01,6.06,2.33,virginica
6.26,3.41,5.6,2.4,virginica
6.41,3.1,5.46,1.79,virginica
6.04,3.03,4.83,1.75,virginica
6.87,3.11,5.39,2.08,virginica
6.7,3.05,5.56,2.44,virginica
6.88,3.09,5.11,2.29,virginica
5.82,2.73,5.14,1.91,virginica
6.81,3.16,5.87,2.31,virginica
6.75,3.26,5.74,2.51,virginica
6.67,2.95,5.18,2.33,virginica
6.31,2.54,5,1.93,virginica
6.52,2.97,5.16,1.97,virginica
6.16,3.42,5.4,2.28,virginica
5.86,2.98,5.13,1.78,virginica